citekey,title,doi,url,identifier_type,verification_status,action
basu2023_med_easi_finely,Med-EASi: Finely Annotated Dataset and Models for Controllable Simplification of Medical Texts,10.1609/aaai.v37i12.26649,https://ojs.aaai.org/index.php/AAAI/article/view/26649,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
horiguchi2025_multimsd_multilingual_medical,MultiMSD: A Corpus for Multilingual Medical Text Simplification from Online Medical References,10.18653/v1/2025.findings-acl.481,https://aclanthology.org/2025.findings-acl.481/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
joseph2023_multilingual_simplification_medical,Multilingual Simplification of Medical Texts,10.18653/v1/2023.emnlp-main.1037,https://aclanthology.org/2023.emnlp-main.1037/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
bakker2024_cochrane_auto_aligned,Cochrane-auto: An Aligned Dataset for the Simplification of Biomedical Abstracts,10.18653/v1/2024.tsar-1.5,https://aclanthology.org/2024.tsar-1.5/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
yao2024_readme_bridging_medical,README: Bridging Medical Jargon and Lay Understanding for Patient Education through Data-Centric NLP,10.18653/v1/2024.findings-emnlp.737,https://aclanthology.org/2024.findings-emnlp.737/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
devaraj2021_paragraph_level_simplification,Paragraph-level Simplification of Medical Texts,10.18653/v1/2021.naacl-main.395,https://aclanthology.org/2021.naacl-main.395/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
devaraj2022_evaluating_factuality_text,Evaluating Factuality in Text Simplification,10.18653/v1/2022.acl-long.506,https://aclanthology.org/2022.acl-long.506/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
flores2023_medical_text_simplification,Medical Text Simplification: Optimizing for Readability with Unlikelihood Training and Reranked Beam Search Decoding,10.18653/v1/2023.findings-emnlp.322,https://aclanthology.org/2023.findings-emnlp.322/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
phatak2022_medical_text_simplification,Medical Text Simplification Using Reinforcement Learning (TESLEA): Deep Learning-Based Text Simplification Approach,10.2196/38095,https://medinform.jmir.org/2022/11/e38095/,DOI,doi_present_needs_crossref_check,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
moramarco2022_more_patient_friendly,Towards More Patient Friendly Clinical Notes through Language Models and Ontologies,,https://pmc.ncbi.nlm.nih.gov/articles/PMC8861686/,PMID,pmid_stable_no_doi,Open PubMed record; export PMID/NBIB into Zotero.
trienes2022_patient_friendly_clinical,Patient-Friendly Clinical Notes: Towards a New Text Simplification Dataset,10.18653/v1/2022.tsar-1.3,https://aclanthology.org/2022.tsar-1.3/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
rahman2024_health_text_simplification,Health Text Simplification: An Annotated Corpus for Digestive Cancer Education and Novel Strategies for Reinforcement Learning,10.1016/j.jbi.2024.104727,https://dl.acm.org/doi/10.1016/j.jbi.2024.104727,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
pavithra2025_bridging_health_literacy,Bridging Health Literacy Gaps in Indian Languages: Multilingual LLMs for Clinical Text Simplification,10.18653/v1/2025.sciprodllm-1.1,https://aclanthology.org/2025.sciprodllm-1.1/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
tran2025_medreadctrl_personalizing_medical,MedReadCtrl: Personalizing Medical Text Generation with Readability-Controlled Instruction Learning,,https://arxiv.org/abs/2507.07419,arXiv,arxiv_stable_no_doi,Open arXiv page; export BibTeX from arXiv or Zotero connector.
qenam2017_text_simplification_consumer,Text Simplification Using Consumer Health Vocabulary to Generate Patient-Centered Radiology Reporting: Translation and Evaluation,10.2196/jmir.8531,https://www.jmir.org/2017/12/e417/,DOI,doi_present_needs_crossref_check,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
makhmutova2024_medical_text_simplification,Automated Medical Text Simplification for Enhanced Patient Understanding,,https://arxiv.org/abs/2402.16038,arXiv,arxiv_stable_no_doi,Open arXiv page; export BibTeX from arXiv or Zotero connector.
vora2025_s_3_pipeline,S-3 Pipeline for Biomedical Text Simplification,,https://ceur-ws.org/Vol-4038/paper_361.pdf,URL,url_stable_no_doi,Open publisher/repository URL; verify metadata manually.
bakker2025_overview_clef_2025,Overview of the CLEF 2025 SimpleText Task 1: Scientific and Biomedical Text Simplification,,https://ceur-ws.org/Vol-4038/paper_344.pdf,URL,url_stable_no_doi,Open publisher/repository URL; verify metadata manually.
grabar2018_clear_medical_french,CLEAR: A Corpus for Medical French Text Simplification,,https://aclanthology.org/W18-7001/,ACL Anthology ID,acl_id_stable_no_doi_field,Open ACL page; use BibTeX from ACL Anthology if available.
cardon2020_french_biomedical_text,French Biomedical Text Simplification: When Small and Precise Helps,,https://jbiomedsem.biomedcentral.com/,URL,url_stable_no_doi,Open publisher/repository URL; verify metadata manually.
aziz2025_banglahealth_bengali_paraphrase,BanglaHealth: A Bengali Paraphrase Dataset on Health Domain,10.1016/j.dib.2025.111699,https://www.sciencedirect.com/science/article/pii/S2352340925004299,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
khan2023_banglachq_summ_abstractive,BanglaCHQ-Summ: An Abstractive Summarization Dataset for Medical Queries in Bangla Conversational Speech,10.18653/v1/2023.banglalp-1.10,https://aclanthology.org/2023.banglalp-1.10/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
khan2023_nervous_about_my,NERvous About My Health: Constructing a Bengali Medical Named Entity Recognition Dataset,10.18653/v1/2023.findings-emnlp.383,https://aclanthology.org/2023.findings-emnlp.383/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
islam2026_bangla_meder_multi,Bangla-MedER: Multi-BERT Ensemble Approach for the Recognition of Bangla Medical Entities,10.1371/journal.pone.0342558,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0342558,DOI,doi_present_needs_crossref_check,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
bhattacharjee2022_banglabert_language_pretraining,BanglaBERT: Language Model Pretraining and Benchmarks for Low-Resource Language Understanding Evaluation in Bangla,10.18653/v1/2022.findings-naacl.98,https://aclanthology.org/2022.findings-naacl.98/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
das2024_banglat5_banglabert0_pretrained,BanglaT5 and BanglaBERT0: Large Pretrained Language Models for Bangla,,https://aclanthology.org/2024.lrec-main/,URL,url_stable_no_doi,Open publisher/repository URL; verify metadata manually.
mahtab2025_benchmark_context_driven,A Benchmark Dataset and Context-Driven Approach for Bangla Named Entity Recognition,10.18653/v1/2025.findings-naacl.380,https://aclanthology.org/2025.findings-naacl.380/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
ekbal2008_bengali_named_entity,Bengali Named Entity Recognition Using Support Vector Machine,,https://aclanthology.org/I08-5008/,ACL Anthology ID,acl_id_stable_no_doi_field,Open ACL page; use BibTeX from ACL Anthology if available.
hossain2017_bengali_question_answering,A Dataset for Bengali Question Answering in the Health Domain,,https://data.mendeley.com/datasets/4tt953xwk2,URL,url_stable_no_doi,Open publisher/repository URL; verify metadata manually.
laskar2023_benllmeval_comprehensive_evaluation,BenLLMEval: A Comprehensive Evaluation into the Potentials and Pitfalls of Large Language Models on Bengali NLP,,https://arxiv.org/abs/2309.13173,arXiv,arxiv_stable_no_doi,Open arXiv page; export BibTeX from arXiv or Zotero connector.
kakwani2020_indicnlpsuite_monolingual_corpora,"IndicNLPSuite: Monolingual Corpora, Evaluation Benchmarks and Pre-trained Multilingual Language Models for Indian Languages",10.18653/v1/2020.findings-emnlp.445,https://aclanthology.org/2020.findings-emnlp.445/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
ramesh2022_samanantar_largest_publicly,Samanantar: The Largest Publicly Available Parallel Corpora Collection for 11 Indic Languages,10.1162/tacl_a_00452,https://aclanthology.org/2022.tacl-1.9/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
doddapaneni2023_indictrans2_high_quality,IndicTrans2: Towards High-Quality and Accessible Machine Translation Models for all 22 Scheduled Indian Languages,,https://arxiv.org/abs/2305.16307,arXiv,arxiv_stable_no_doi,Open arXiv page; export BibTeX from arXiv or Zotero connector.
costajuss2022_no_language_left,No Language Left Behind: Scaling Human-Centered Machine Translation,,https://arxiv.org/abs/2207.04672,arXiv,arxiv_stable_no_doi,Open arXiv page; export BibTeX from arXiv or Zotero connector.
dabre2020_multilingual_neural_machine,A Survey of Multilingual Neural Machine Translation,10.1145/3406095,https://doi.org/10.1145/3406095,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
hasan2020_not_low_resource,"Not Low-Resource Anymore: Aligner Ensembling, Batch Filtering, and New Datasets for Bengali-English Machine Translation",10.18653/v1/2020.emnlp-main.207,https://aclanthology.org/2020.emnlp-main.207/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
akter2025_banglat5_mhealth_bengali,BanglaT5-mHealth: A Bengali Health-Domain Paraphrasing Model,,https://huggingface.co/faisal4590aziz/bangla-t5-mHealth,URL,url_stable_no_doi,Open publisher/repository URL; verify metadata manually.
maynez2020_faithfulness_factuality_abstractive,On Faithfulness and Factuality in Abstractive Summarization,10.18653/v1/2020.acl-main.173,https://aclanthology.org/2020.acl-main.173/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
pagnoni2021_understanding_factuality_abstractive,Understanding Factuality in Abstractive Summarization with FRANK: A Benchmark for Factuality Metrics,10.1162/tacl_a_00368,https://aclanthology.org/2021.tacl-1.28/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
gabriel2021_go_figure_meta,GO FIGURE: A Meta Evaluation of Factuality in Summarization,10.18653/v1/2021.findings-acl.58,https://aclanthology.org/2021.findings-acl.58/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
falke2019_ranking_generated_summaries,Ranking Generated Summaries by Correctness: An Interesting but Challenging Application for Natural Language Inference,10.18653/v1/P19-1213,https://aclanthology.org/P19-1213/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
kryscinski2020_evaluating_factual_consistency,Evaluating the Factual Consistency of Abstractive Text Summarization,10.18653/v1/2020.emnlp-main.750,https://aclanthology.org/2020.emnlp-main.750/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
goyal2021_annotating_modeling_fine,Annotating and Modeling Fine-grained Factuality in Summarization,10.18653/v1/2021.naacl-main.114,https://aclanthology.org/2021.naacl-main.114/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
fabbri2021_summeval_re_evaluating,SummEval: Re-evaluating Summarization Evaluation,10.1162/tacl_a_00373,https://aclanthology.org/2021.tacl-1.24/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
durmus2020_feqa_question_answering,FEQA: A Question Answering Evaluation Framework for Faithfulness Assessment in Abstractive Summarization,10.18653/v1/2020.acl-main.454,https://aclanthology.org/2020.acl-main.454/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
wang2020_asking_answering_questions,Asking and Answering Questions to Evaluate the Factual Consistency of Summaries,10.18653/v1/2020.acl-main.450,https://aclanthology.org/2020.acl-main.450/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
scialom2021_questeval_summarization_asks,QuestEval: Summarization Asks for Fact-based Evaluation,10.18653/v1/2021.emnlp-main.529,https://aclanthology.org/2021.emnlp-main.529/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
laban2022_summac_re_visiting,SummaC: Re-Visiting NLI-based Models for Inconsistency Detection in Summarization,10.1162/tacl_a_00453,https://aclanthology.org/2022.tacl-1.10/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
min2023_factscore_fine_grained,FActScore: Fine-grained Atomic Evaluation of Factual Precision in Long Form Text Generation,10.18653/v1/2023.emnlp-main.741,https://aclanthology.org/2023.emnlp-main.741/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
zha2023_alignscore_evaluating_factual,AlignScore: Evaluating Factual Consistency with A Unified Alignment Function,10.18653/v1/2023.acl-long.634,https://aclanthology.org/2023.acl-long.634/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
koto2020_ffci_framework_interpretable,FFCI: A Framework for Interpretable Automatic Evaluation of Summarization,,https://aclanthology.org/2020.coling-main.251/,ACL Anthology ID,acl_id_stable_no_doi_field,Open ACL page; use BibTeX from ACL Anthology if available.
cao2018_faithful_original_fact,Faithful to the Original: Fact Aware Neural Abstractive Summarization,10.1609/aaai.v32i1.11960,https://ojs.aaai.org/index.php/AAAI/article/view/11960,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
goodrich2019_assessing_factual_accuracy,Assessing the Factual Accuracy of Generated Text,10.1145/3292500.3330955,https://doi.org/10.1145/3292500.3330955,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
dziri2022_evaluating_attribution_dialogue,Evaluating Attribution in Dialogue Systems: The BEGIN Benchmark,10.1162/tacl_a_00506,https://aclanthology.org/2022.tacl-1.62/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
rashkin2023_measuring_attribution_natural,Measuring Attribution in Natural Language Generation Models,10.1162/coli_a_00486,https://doi.org/10.1162/coli_a_00486,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
li2023_hallucination_natural_language,Survey of Hallucination in Natural Language Generation,,https://arxiv.org/abs/2202.03629,arXiv,arxiv_stable_no_doi,Open arXiv page; export BibTeX from arXiv or Zotero connector.
ji2023_hallucination_natural_language,Survey of Hallucination in Natural Language Generation,10.1145/3571730,https://doi.org/10.1145/3571730,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
manakul2023_selfcheckgpt_zero_resource,SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models,10.18653/v1/2023.emnlp-main.557,https://aclanthology.org/2023.emnlp-main.557/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
li2023_halueval_hallucination_evaluation,HaluEval: A Large-Scale Hallucination Evaluation Benchmark for Large Language Models,10.18653/v1/2023.emnlp-main.397,https://aclanthology.org/2023.emnlp-main.397/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
chen2024_hallucination_detection_robustly,Hallucination Detection: Robustly Discerning Reliable Answers in Large Language Models,10.1145/3627673.3679910,https://doi.org/10.1145/3627673.3679910,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
tam2023_checking_facts_fact,Checking the Facts: A Survey of Fact-Checking with Large Language Models,,https://arxiv.org/abs/2310.02140,arXiv,arxiv_stable_no_doi,Open arXiv page; export BibTeX from arXiv or Zotero connector.
huang2025_hallucination_language_principles,"A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions",10.1145/3703155,https://doi.org/10.1145/3703155,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
liu2024_lost_middle_how,Lost in the Middle: How Language Models Use Long Contexts,10.1162/tacl_a_00638,https://aclanthology.org/2024.tacl-1.9/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
romanov2018_lessons_natural_language,Lessons from Natural Language Inference in the Clinical Domain,10.18653/v1/D18-1187,https://aclanthology.org/D18-1187/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
conneau2018_xnli_evaluating_cross,XNLI: Evaluating Cross-lingual Sentence Representations,10.18653/v1/D18-1269,https://aclanthology.org/D18-1269/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
aggarwal2022_indicxnli_evaluating_multilingual,IndicXNLI: Evaluating Multilingual Inference for Indian Languages,10.18653/v1/2022.emnlp-main.755,https://aclanthology.org/2022.emnlp-main.755/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
bowman2015_annotated_learning_natural,A Large Annotated Corpus for Learning Natural Language Inference,10.18653/v1/D15-1075,https://aclanthology.org/D15-1075/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
williams2018_broad_coverage_challenge,A Broad-Coverage Challenge Corpus for Sentence Understanding through Inference,10.18653/v1/N18-1101,https://aclanthology.org/N18-1101/,DOI,doi_structurally_verified_from_source,"Run Crossref/Zotero DOI resolver; if mismatch, move to 00_To_Verify."
